Level: caleb-01 | RlUUdLLrdD

   ###
   #.#
#### #
#. BB###
### &B.#
  #B####
  #.#
  ###

Level: caleb-02 | DRdRRUrDllluRRlllldRRRdrUrUdlluR

 #######
##&##..#
# BB B.#
#   B  #
####  .#
   #####

Level: caleb-03 | ldRddrrdrrUUluUruLdddrUUddddllulluuRRllddrrdrruulUU

   #####
####...#
# &##B #
# B    #
## ##  #
##   #B#
 ###   #
   #####

Level: caleb-04 | rDDDlddlluuRRUruulDDDllddrUluRluRR

  ####
  #& #
### B#
# BB.##
# B.. #
# B.. #
#   ###
#####

Level: caleb-05 | urRuulDrrrddLUruL

 ####
 #  #
##  ###
# B.  #
# .B  #
#& .B #
###  ##
  ####

Level: caleb-06 | ullDDLLururrrddLLrrddlUruuullddLdRuuurrddLLdlUruLLrdrrrdLL

    ####
  ##   #
###    #
#.  B#&#
#..B B #
###. B #
  ###  #
    ####

Level: caleb-07 | DDldlddrUrUruLdrrddlUluuuulldRurDurD

#######
#  &  #
# BBB #
##...##
# . . #
# B B #
#  #  #
#######


Level: caleb-08 | llullddRUrrruLdllluuRDuurrDDrdLuLUlldRlddrUddrrUULUdrruLdlDlluRluurDDldR

 #####
## . #
# B.B##
#  .B #
# B. &#
# B.B##
## . #
# ####

Level: caleb-09 | dlluLdlluUUrurrdLLrDDLrrdrruLLdLLrUUUrurrdLLLruLdrDurDDLLrrrdLLL

########
#..    #
#..B B #
#B#BBB##
#..B B&#
#..    #
########


Level: caleb-10 | uLLLLulDDRurrrruullDurrddlLLLdlUrrrrrdddllULrULLurRuurrddLLLdlU

   #####
####   #
#..#B# #
#    B #
#.B  #&#
#..BB# #
####   #
   #####

Level: caleb-11 | DuRlLUluRRRDrDDLdLLUUrDuRllUdrruulLddrU

#######
#. . .#
# BBB #
#.B&B.#
# BBB #
#. . .#
#######
